id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
669394,"Burger, Jake",929,0.90281827,665,74.68849192,0.469321851,0.333834586,0.238966631,0.201503759,0.144241119,7.483993111,17,0.831106134,264,0.284176534,341,0.367061356
682985,"Greene, Riley",890,0.907237513,661,74.67975603,0.457303371,0.307110439,0.228089888,0.169440242,0.125842697,7.198148764,7,-6.864409159,229,0.257303371,308,0.346067416
661388,"Contreras, William",1090,0.906821963,813,74.66873879,0.503669725,0.349323493,0.260550459,0.209102091,0.155963303,7.341808587,24,-3.680678709,277,0.25412844,419,0.38440367
677951,"Witt Jr., Bobby",1111,0.911402789,875,74.66459503,0.483348335,0.348571429,0.274527453,0.204571429,0.161116112,7.096457183,16,19.80558254,236,0.212421242,468,0.421242124
671213,"Casas, Triston",347,0.903645833,242,74.64813383,0.492795389,0.289256198,0.201729107,0.136363636,0.095100865,7.720071009,10,4.34573161,105,0.30259366,113,0.325648415
650907,"Pinto, René",55,0.916666667,32,74.56297982,0.490909091,0.4375,0.254545455,0.21875,0.127272727,7.483659455,1,-0.901326285,23,0.418181818,17,0.309090909
677800,"Abreu, Wilyer",756,0.907563025,557,74.554859,0.445767196,0.307001795,0.226190476,0.15978456,0.117724868,7.392287765,17,-9.747421623,199,0.263227513,263,0.347883598
673357,"Robert Jr., Luis",715,0.901639344,482,74.54360746,0.475524476,0.282157676,0.19020979,0.15560166,0.104895105,7.737383986,12,-12.62477801,233,0.325874126,233,0.325874126
663728,"Raleigh, Cal",1112,0.904065041,790,74.5171571,0.451438849,0.284810127,0.202338129,0.159493671,0.113309353,7.76837411,15,-17.90139181,322,0.289568345,339,0.304856115
694671,"Langford, Wyatt",819,0.902976847,630,74.49387904,0.482295482,0.317460317,0.244200244,0.184126984,0.141636142,7.006870635,8,-14.79562412,189,0.230769231,340,0.415140415
621043,"Correa, Carlos",520,0.910683012,422,74.47704479,0.453846154,0.322274882,0.261538462,0.199052133,0.161538462,7.250512827,4,13.32440844,98,0.188461538,224,0.430769231
672356,"Arias, Gabriel",295,0.913312693,183,74.47648244,0.474576271,0.25136612,0.155932203,0.142076503,0.088135593,7.560594847,8,-8.916201568,112,0.379661017,83,0.281355932
656577,"Jackson, Alex",286,0.902208202,178,74.40787203,0.468531469,0.247191011,0.153846154,0.106741573,0.066433566,7.479054126,6,-16.69980582,108,0.377622378,84,0.293706294
691016,"Soderstrom, Tyler",321,0.906779661,228,74.40132446,0.45482866,0.350877193,0.249221184,0.201754386,0.143302181,7.536719346,9,-7.925976076,93,0.289719626,123,0.38317757
642133,"Tellez, Rowdy",611,0.90652819,491,74.3992107,0.436988543,0.274949084,0.220949264,0.152749491,0.122749591,7.984525794,13,-16.87667073,120,0.196399345,267,0.436988543
680718,"Barger, Addison",354,0.903061224,264,74.3460624,0.440677966,0.318181818,0.237288136,0.166666667,0.124293785,7.549391412,5,-10.89345649,90,0.254237288,140,0.395480226
700242,"Sweeney, Trey",199,0.921296296,140,74.33411543,0.432160804,0.328571429,0.231155779,0.185714286,0.130653266,7.722491508,2,-5.429927501,59,0.296482412,74,0.371859296
621439,"Buxton, Byron",658,0.905089409,460,74.32131126,0.417933131,0.315217391,0.220364742,0.167391304,0.117021277,8.076933739,12,1.697267109,198,0.300911854,221,0.335866261
668723,"Vilade, Ryan",92,0.901960784,69,74.29629207,0.456521739,0.246376812,0.184782609,0.101449275,0.076086957,7.232966087,1,-4.56644395,23,0.25,31,0.336956522
671732,"Butler, Lawrence",725,0.90738423,539,74.19212225,0.435862069,0.32096475,0.23862069,0.176252319,0.131034483,7.071419655,12,0.005542341,186,0.256551724,272,0.375172414
656484,"Gray, Tristan",58,0.920634921,27,74.14226155,0.379310345,0.296296296,0.137931034,0.111111111,0.051724138,7.670488276,0,-4.875679044,31,0.534482759,11,0.189655172
669127,"Langeliers, Shea",853,0.915236052,621,74.13680409,0.419695193,0.325281804,0.236811254,0.177133655,0.128956624,7.27794612,7,-6.486617167,232,0.271981243,311,0.364595545
624424,"Conforto, Michael",722,0.905897114,554,74.12210267,0.429362881,0.33032491,0.253462604,0.175090253,0.13434903,7.375714017,5,-13.3434439,168,0.232686981,286,0.396121884
680118,"Blanco, Dairon",196,0.903225806,135,74.1024851,0.433673469,0.318518519,0.219387755,0.185185185,0.12755102,7.474934337,7,-8.003780273,61,0.31122449,75,0.382653061
691723,"Mayo, Coby",79,0.897727273,45,74.08126354,0.405063291,0.222222222,0.126582278,0.066666667,0.037974684,6.990807215,1,-8.17865716,34,0.430379747,17,0.215189873
663853,"Gonzalez, Romy",404,0.907865169,286,74.06006017,0.383663366,0.335664336,0.237623762,0.22027972,0.155940594,7.027441139,3,-6.360296947,118,0.292079208,133,0.329207921
547180,"Harper, Bryce",1094,0.905629139,822,74.03577517,0.410420475,0.279805353,0.21023766,0.173965937,0.13071298,7.28843511,13,-6.093196821,272,0.248628885,358,0.327239488
542303,"Ozuna, Marcell",1125,0.906526994,773,74.02091396,0.424888889,0.338939198,0.232888889,0.203104787,0.139555556,7.397909316,4,7.000651955,352,0.312888889,377,0.335111111
678554,"Mead, Curtis",192,0.905660377,157,73.97471984,0.427083333,0.280254777,0.229166667,0.159235669,0.130208333,7.308486563,3,-8.701338896,35,0.182291667,79,0.411458333
572191,"Taylor, Michael A.",464,0.90625,293,73.95025037,0.409482759,0.283276451,0.17887931,0.146757679,0.092672414,7.180510216,20,-24.20152059,171,0.368534483,141,0.30387931
663609,"Baker, Luken",82,0.901098901,57,73.92712244,0.402439024,0.333333333,0.231707317,0.157894737,0.109756098,7.82085561,4,-2.619701321,25,0.304878049,28,0.341463415
